Timestamp,Player1 Name,Player1 Phone,Player2 Name,Player2 Phone,Track
2026/03/01,Karim Mansour,0100000001,Tarek Fahmy,0100000002,AI
2026/03/01,Youssef Nasser,0100000003,Omar Farouk,0100000004,Web Dev
2026/03/01,Ahmed Galal,0100000005,Mahmoud Rizk,0100000006,Mobile
2026/03/01,Hossam Saad,0100000007,Walid Aziz,0100000008,PD
2026/03/02,Khaled Morsy,0100000009,Sherif Lotfy,0100000010,3D
2026/03/02,Amr Shalaby,0100000011,Bassem Ragab,0100000012,Open Source
2026/03/02,Mohamed Atef,0100000013,Ibrahim Qasem,0100000014,System Admin
2026/03/02,Samir Halim,0100000015,Nader Wahby,0100000016,Data Engineering
2026/03/03,Tamer Badawi,0100000017,Alaa Gohar,0100000018,AI
2026/03/03,Hassan Sobhi,0100000019,Adel Sarhan,0100000020,Web Dev
2026/03/03,Ramy Fouad,0100000021,Osama Naggar,0100000022,Mobile
2026/03/03,Wael Shafik,0100000023,Magdy Soliman,0100000024,PD
2026/03/04,Fares Zidan,0100000025,Hazem Barakat,0100000026,3D
2026/03/04,Samer Khalil,0100000027,Ayman Tawfik,0100000028,Open Source
2026/03/04,Mostafa Amin,0100000029,Ehab Mansour,0100000030,System Admin
2026/03/04,Tarek Selim,0100000031,Nabil Younis,0100000032,Data Engineering
2026/03/05,Hany Gaber,0100000033,Ashraf Metwaly,0100000034,AI
2026/03/05,Salah Hegazy,0100000035,Maged Roushdy,0100000036,Web Dev
2026/03/05,Ramez Abdou,0100000037,Sherif Hamdy,0100000038,Mobile
2026/03/05,Kamal Osman,0100000039,Yasser Labib,0100000040,PD
2026/03/06,Emad Khalifa,0100000041,Nour Saad,0100000042,3D
2026/03/06,Ziad Mansour,0100000043,Adham Sherif,0100000044,Open Source
2026/03/06,Mahmoud Gamal,0100000045,Kareem Helmy,0100000046,System Admin
2026/03/06,Sameh Wahid,0100000047,Hossam Fathy,0100000048,Data Engineering
2026/03/07,Omar Sabry,0100000049,Amir Maghraby,0100000050,AI
2026/03/07,Khaled Gouda,0100000051,Tarek Hamdan,0100000052,Web Dev
2026/03/07,Ahmed Samy,0100000053,Wael Othman,0100000054,Mobile
2026/03/07,Mohamed Nour,0100000055,Bassam Khalil,0100000056,PD
2026/03/08,Youssef Bakr,0100000057,Hamdy Morcos,0100000058,3D
2026/03/08,Amr Helal,0100000059,Saad Rashed,0100000060,Open Source
2026/03/08,Ibrahim Lotfy,0100000061,Hany Abdelsalam,0100000062,System Admin
2026/03/08,Sherif Nabil,0100000063,Mostafa Shawky,0100000064,Data Engineering
